Nom Sewan,Nom CFAST,Nom Normalisé
ACCUEIL FRATERNEL ROUBAISIEN,ACCUEIL FRATERNEL ROUBAISIEN,accueilfraternelroubaisien
ACCUEIL PROMOTION SAMBRE,ACCUEIL PROMOTION SAMBRE,accueilpromotionsambre
ADM POLE DE VAL MAUBUEE,ADM POLE DE VAL MAUBUEE,admpoledevalmaubuee
AGENCE DE PAPIERS DE PRESSE,AGENCE DE PAPIERS DE PRESSE,agencedepapiersdepresse
ALERTE IMMO,ALERTE IMMO,alerteimmo
ALPHA COURSES,,alphacourses
ALSACE,ALSACE,alsace
AMBUL 'EUROPE ASSISTANCE,,ambul'europeassistance
APEI ENTREPRISE ADAPT�E,,apeientrepriseadapt�e
APEI FAM AJ LES COPAINS A BORD,APEI FAM AJ LES COPAINS A BORD,apeifamajlescopainsabord
APEI FOYER DE VIE BORD DES EAUX,APEI FOYER DE VIE BORD DES EAUX,apeifoyerdevieborddeseaux
APEI IME L Envol Site de Carvin,,apeiimelenvolsitedecarvin
APEI IME L ENVOL SITE HENIN,,apeiimelenvolsitehenin
APEI PRODIVERSITE ESAT CCIAL,,apeiprodiversiteesatccial
APEI RESIDENCE DU MOULIN,,apeiresidencedumoulin
APEI SAJ LES COPAINS A BORD,APEI SAJ LES COPAINS A BORD,apeisajlescopainsabord
APEI SAMSAH DU MOULIN,,apeisamsahdumoulin
APEI SAVS DU MOULIN,,apeisavsdumoulin
APEI SESSAD L Envol Site de Carvin,,apeisessadlenvolsitedecarvin
APEI SESSAD L ENVOL SITE HENIN,,apeisessadlenvolsitehenin
APEI SIEGE SOCIAL,APEI SIEGE SOCIAL,apeisiegesocial
APEI VIE ASSOCIATIVE SAS LA PASSERELLE,APEI VIE ASSOCIATIVE SAS LA PASSERELLE,apeivieassociativesaslapasserelle
ARBS ASS ROTARIENNE BIBLIO SCOLAIRE,ARBS ASS ROTARIENNE BIBLIO SCOLAIRE,arbsassrotariennebiblioscolaire
ARVIVA,ARVIVA,arviva
AS PRO BAT,,asprobat
ASS ROUBAIS COORD ACT DEVEL INSERT SOCIA,,assroubaiscoordactdevelinsertsocia
ASSOCIATION BIEN ETRE ET SANTE,ASSOCIATION BIEN ETRE ET SANTE,associationbienetreetsante
ASSOCIATION DE GESTION LACORDAIRE,ASSOCIATION DE GESTION LACORDAIRE,associationdegestionlacordaire
ASSOCIATION OREHANE,ASSOCIATION OREHANE,associationorehane
ASSOCIATION RENAITRE,ASSOCIATION RENAITRE,associationrenaitre
ASSOCIATION STELLA MARIS,ASSOCIATION STELLA MARIS,associationstellamaris
ASSOCIATION TUTELAIRE DU PAS DE CALAIS,ASSOCIATION TUTELAIRE DU PAS DE CALAIS,associationtutelairedupasdecalais
AUDIT ENERGIE TRANSFERT SERVICE INDUSTRIE,,auditenergietransfertserviceindustrie
AXA PREVOYANCE & PATRIMOINE,,axaprevoyance&patrimoine
AXO GROUPE,AXO GROUPE,axogroupe
BATI SERVICE,BATI SERVICE,batiservice
BAYART DL,BAYART DL,bayartdl
BFG,BFG,bfg
BIOCONSULTANTS,BIOCONSULTANTS,bioconsultants
BOUCHERIE JACQUET,BOUCHERIE JACQUET,boucheriejacquet
BUSINESS DEVELOPPEMENT AFTERMARKET,BUSINESS DEVELOPPEMENT AFTERMARKET,businessdeveloppementaftermarket
C.I.T. SARL,C.I.T. SARL,c.i.t.sarl
CA.MI.BAT,,ca.mi.bat
CABINET DUJARDIN ET DELEPLANQUE,,cabinetdujardinetdeleplanque
CABINET MEDICAL DU VERMANDOIS,CABINET MEDICAL DU VERMANDOIS,cabinetmedicalduvermandois
CAISSE DES INSTITUTIONS SOCIALES DU B.T.P.,CAISSE DES INSTITUTIONS SOCIALES DU B.T.P.,caissedesinstitutionssocialesdub.t.p.
CAMBRAI CHARPENTES,CAMBRAI CHARPENTES,cambraicharpentes
CAP EMPLOI LILLE METROPOLE DOUAISIS,CAP EMPLOI LILLE METROPOLE DOUAISIS,capemploilillemetropoledouaisis
CAPPELLE,CAPPELLE,cappelle
CARROSSERIE LILLOISE,CARROSSERIE LILLOISE,carrosserielilloise
CARTONNAGES VAILLANT,CARTONNAGES VAILLANT,cartonnagesvaillant
CDPL,,cdpl
CENTRE FERON VRAU,,centreferonvrau
CESEMAT,,cesemat
