Id interne de valorisation;Call Id;Date d'appel;Login utilisateur;Numéro facturé;Numéro appelé;Durée totale;Durée facturée;Destination;Catégorie de destination;Prix d'achat;Client/revendeur direct (niv. 1);Réf. client/revendeur direct (niv. 1);Prix d'achat niv. 1 (Prix de revente);Client/revendeur (niv. 2);Réf. client/revendeur (niv. 2);Prix d'achat niv. 2;Dont service (HT);Premier appelé
11701676031;{ba0c2998-2a10-11f0-b2ef-0050569c1182};2025-05-05 09:49:40;;+33320422434;+33698498370;36;36;France-Mobile;Mobile;0,018000;FERRANTELLI;411FERRANTELLI;0,090000;;;;0,0;
11701676039;{ba09fa6a-2a10-11f0-b2ef-0050569c1182};2025-05-05 14:36:09;;+33320422434;+33320667543;115;0;France;National;0,000000;FERRANTELLI;411FERRANTELLI;0,000000;;;;0,0;
11705836697;{dc13bed0-2ad7-11f0-adf1-0050569c1182};2025-05-06 09:15:36;;+33320422434;+33320030068;137;0;France;National;0,000000;FERRANTELLI;411FERRANTELLI;0,000000;;;;0,0;
11705918058;{d662658a-2ad8-11f0-adf1-0050569c1182};2025-05-06 14:51:28;;+33320422434;+33320121513;122;0;France;National;0,000000;FERRANTELLI;411FERRANTELLI;0,000000;;;;0,0;
11706011621;{c97bbd8e-2ad9-11f0-adf1-0050569c1182};2025-05-06 14:46:14;;+33320422434;+33321605730;191;0;France;National;0,000000;FERRANTELLI;411FERRANTELLI;0,000000;;;;0,0;
11709737994;{a734b750-2b9f-11f0-a460-0050569c1182};2025-05-07 09:18:03;;+33320422434;+33320246000;86;0;France;National;0,000000;FERRANTELLI;411FERRANTELLI;0,000000;;;;0,0;
11709738005;{a736b528-2b9f-11f0-a460-0050569c1182};2025-05-07 11:53:15;;+33320422434;+33327331677;98;0;France;National;0,000000;FERRANTELLI;411FERRANTELLI;0,000000;;;;0,0;
11709738017;{a73f30b8-2b9f-11f0-a460-0050569c1182};2025-05-07 09:51:15;;+33320422434;+33320030068;271;0;France;National;0,000000;FERRANTELLI;411FERRANTELLI;0,000000;;;;0,0;
11709738021;{a739981a-2b9f-11f0-a460-0050569c1182};2025-05-07 11:14:26;;+33320422434;+33320685060;62;0;France;National;0,000000;FERRANTELLI;411FERRANTELLI;0,000000;;;;0,0;
11709738022;{a73c69dc-2b9f-11f0-a460-0050569c1182};2025-05-07 11:16:34;;+33320422434;+33782486047;26;26;France-Mobile;Mobile;0,013000;FERRANTELLI;411FERRANTELLI;0,065000;;;;0,0;
11713825129;{bff717a8-2d32-11f0-b467-0050569c1182};2025-05-09 11:49:21;;+33320422434;+33698498370;104;104;France-Mobile;Mobile;0,052000;FERRANTELLI;411FERRANTELLI;0,260000;;;;0,0;
11713892076;{a46eef0a-2d33-11f0-b467-0050569c1182};2025-05-09 13:21:53;;+33320422434;+33320084705;27;0;France;National;0,000000;FERRANTELLI;411FERRANTELLI;0,000000;;;;0,0;
11713919714;{f4ab004e-2d33-11f0-b467-0050569c1182};2025-05-09 13:22:31;;+33320422434;+33618523292;23;23;France-Mobile;Mobile;0,011500;FERRANTELLI;411FERRANTELLI;0,057500;;;;0,0;
11713919726;{f4acec10-2d33-11f0-b467-0050569c1182};2025-05-09 13:23:34;;+33320422434;+33627843403;16;16;France-Mobile;Mobile;0,008000;FERRANTELLI;411FERRANTELLI;0,040000;;;;0,0;
11713952005;{501f55f6-2d34-11f0-b467-0050569c1182};2025-05-09 11:29:24;;+33320422434;+33231833385;165;0;France;National;0,000000;FERRANTELLI;411FERRANTELLI;0,000000;;;;0,0;
11718723993;{a7d428c0-2f8d-11f0-b66d-0050569c1182};2025-05-12 10:39:20;;+33320422434;+33892232120;59;0;Numéros spéciaux surtaxés;Numéros spéciaux;0,286809;FERRANTELLI;411FERRANTELLI;0,286809;;;;0,286809;
11718724000;{a7d6d4e4-2f8d-11f0-b66d-0050569c1182};2025-05-12 10:40:48;;+33320422434;+33892232120;250;0;Numéros spéciaux surtaxés;Numéros spéciaux;1,215292;FERRANTELLI;411FERRANTELLI;1,215292;;;;1,215292;
11718987444;{223d5296-2f91-11f0-b987-0050569c1182};2025-05-12 10:25:37;;+33320422434;+33320495778;44;0;France;National;0,000000;FERRANTELLI;411FERRANTELLI;0,000000;;;;0,0;
11718987450;{2237adc8-2f91-11f0-b987-0050569c1182};2025-05-12 16:00:49;;+33320422434;+33328659640;91;0;France;National;0,000000;FERRANTELLI;411FERRANTELLI;0,000000;;;;0,0;
11718987454;{223591be-2f91-11f0-b987-0050569c1182};2025-05-12 15:57:03;;+33320422434;+33320617890;144;0;France;National;0,000000;FERRANTELLI;411FERRANTELLI;0,000000;;;;0,0;
11718987456;{223f6888-2f91-11f0-b987-0050569c1182};2025-05-12 12:20:26;;+33320422434;+33494146734;6;0;France;National;0,000000;FERRANTELLI;411FERRANTELLI;0,000000;;;;0,0;
11718987460;{223b2070-2f91-11f0-b987-0050569c1182};2025-05-12 14:27:34;;+33320422434;+33140551347;205;0;France;National;0,000000;FERRANTELLI;411FERRANTELLI;0,000000;;;;0,0;
11723292268;{14bd4bb8-3058-11f0-b800-0050569c1182};2025-05-13 15:03:27;;+33320422434;+33637410681;61;61;France-Mobile;Mobile;0,030500;FERRANTELLI;411FERRANTELLI;0,152500;;;;0,0;
11723293836;{19dd1164-3058-11f0-b800-0050569c1182};2025-05-13 15:46:07;;+33320422434;+33328388898;63;0;France;National;0,000000;FERRANTELLI;411FERRANTELLI;0,000000;;;;0,0;
11723297343;{26b0b17a-3058-11f0-b800-0050569c1182};2025-05-13 15:05:55;;+33320422434;+33149009000;307;0;France;National;0,000000;FERRANTELLI;411FERRANTELLI;0,000000;;;;0,0;
11723381110;{29093b26-3059-11f0-b800-0050569c1182};2025-05-13 09:59:01;;+33320422434;+33320030068;544;0;France;National;0,000000;FERRANTELLI;411FERRANTELLI;0,000000;;;;0,0;
11732025730;{7b6bfa40-31ec-11f0-85e8-0050569c1182};2025-05-15 15:07:31;;+33320422434;+33140551347;352;0;France;National;0,000000;FERRANTELLI;411FERRANTELLI;0,000000;;;;0,0;
11732025739;{7b6df994-31ec-11f0-85e8-0050569c1182};2025-05-15 08:47:44;;+33320422434;+33320030068;506;0;France;National;0,000000;FERRANTELLI;411FERRANTELLI;0,000000;;;;0,0;
11732025742;{7b71e6d0-31ec-11f0-85e8-0050569c1182};2025-05-15 11:08:42;;+33320422434;+33320617890;138;0;France;National;0,000000;FERRANTELLI;411FERRANTELLI;0,000000;;;;0,0;
11732025745;{7b7000f4-31ec-11f0-85e8-0050569c1182};2025-05-15 11:52:23;;+33320422434;+33140551347;243;0;France;National;0,000000;FERRANTELLI;411FERRANTELLI;0,000000;;;;0,0;
11735710746;{a5b26934-32b3-11f0-b5e1-0050569c1182};2025-05-16 16:45:08;;+33320422434;+33320030068;100;0;France;National;0,000000;FERRANTELLI;411FERRANTELLI;0,000000;;;;0,0;
11740731798;{0f753b5a-350f-11f0-918a-0050569c1182};2025-05-19 16:14:37;;+33320422434;+33328273457;33;0;France;National;0,000000;FERRANTELLI;411FERRANTELLI;0,000000;;;;0,0;
11740740812;{2ecf96da-350f-11f0-918a-0050569c1182};2025-05-19 16:27:51;;+33320422434;+33971445552;26;0;France-Non Géographique;National - numéros non géographiques;0,000000;FERRANTELLI;411FERRANTELLI;0,000000;;;;0,0;
11740743731;{399bf1e4-350f-11f0-918a-0050569c1182};2025-05-19 15:53:56;;+33320422434;+33328273457;3;0;France;National;0,000000;FERRANTELLI;411FERRANTELLI;0,000000;;;;0,0;
11740837543;{61319262-3510-11f0-918a-0050569c1182};2025-05-19 11:22:31;;+33320422434;+33361999828;6;0;France;National;0,000000;FERRANTELLI;411FERRANTELLI;0,000000;;;;0,0;
11740841359;{6cc0bf18-3510-11f0-918a-0050569c1182};2025-05-19 16:26:44;;+33320422434;+33788457976;51;51;France-Mobile;Mobile;0,025500;FERRANTELLI;411FERRANTELLI;0,127500;;;;0,0;
11740903113;{0662c9fe-3511-11f0-918a-0050569c1182};2025-05-19 11:23:34;;+33320422434;+33616106330;9;9;France-Mobile;Mobile;0,004500;FERRANTELLI;411FERRANTELLI;0,022500;;;;0,0;
