family_combined,name,cost_unit,qtt,cost,description,creation_date,modification_date,billed_person_id,punctual_bill_sbg_id
1 - Licenses and options,Licence utilisateur - Illimité F/M France et 70 destinations,15.0,2.0,30.0,,2021-09-21 10:48:31,2024-03-26 10:57:45,902143,
1 - Licenses and options,Cloud Firewall - VPN - Coeur de réseau MPLS,24.0,1.0,24.0,,2021-09-02 09:18:36,2024-03-26 11:22:55,902143,
1 - Licenses and options,Licence SUNBREN,15.0,8.0,120.0,,2021-09-21 11:16:53,2025-02-03 09:45:44,902143,
3 - Access links,Accès Internet - Fibre Mutualisée FTTH - 1 Gbps Max,54.0,1.0,54.0,,2021-08-26 14:53:02,2024-03-26 10:57:45,902143,
4 - Numbers and portabilities,Numéro direct - SDA supplémentaire,0.6,2.0,1.2,,2021-09-21 10:48:31,2024-03-26 10:57:45,902143,
5 - Service Pack,Maintenance mensuelle Point accès wifi,3.5,2.0,7.0,,2021-10-02 11:52:34,2024-07-09 10:45:54,902143,
5 - Service Pack,Maintenance mensuelle switch,15.0,1.0,15.0,,2021-10-02 11:52:34,2022-09-20 17:02:33,902143,
6 - Hardware,Routeur Internet - Supervision - Compatible VRRP,5.0,1.0,5.0,,2021-08-26 14:53:02,2024-03-26 10:57:45,902143,
7 - Mobile,Business Smartphone 20 Go,21.0,6.0,126.0,,2022-09-22 14:29:09,2024-03-26 10:52:51,902143,
1 - Licenses and options,Licence utilisateur - Illimité F/M France et 70 destinations,15.0,1.0,15.0,,2021-09-23 11:06:30,2024-03-26 11:00:12,902162,
1 - Licenses and options,Cloud Firewall - VPN - Coeur de réseau MPLS,24.0,1.0,24.0,,2021-09-23 11:06:30,2024-03-26 11:22:29,902162,
3 - Access links,Accès Internet - Fibre Mutualisée FTTH - 1 Gbps Max,54.0,1.0,54.0,,2021-07-19 15:34:22,2024-03-26 11:00:12,902162,
4 - Numbers and portabilities,Numéro direct - SDA supplémentaire,0.6,1.0,0.6,,2021-09-23 11:06:30,2024-03-26 11:00:12,902162,
5 - Service Pack,Maintenance mensuelle Point accès wifi,3.5,2.0,7.0,,2021-10-02 11:56:11,2022-10-29 08:10:23,902162,
5 - Service Pack,Maintenance mensuelle réseau switch,15.0,1.0,15.0,,2021-10-02 11:56:11,2024-07-09 10:45:11,902162,
6 - Hardware,Routeur Internet - Supervision - Compatible VRRP,5.0,1.0,5.0,,2021-07-19 15:34:22,2024-03-26 11:00:12,902162,
7 - Mobile,Business Smartphone 20 Go,21.0,2.0,42.0,,2022-09-22 14:32:11,2024-03-26 10:53:28,902162,
1 - Licenses and options,Licence utilisateur - Illimité F/M France et 70 destinations,15.0,4.0,60.0,,2021-10-07 16:19:50,2024-07-09 10:15:43,902152,
1 - Licenses and options,Cloud Firewall - VPN - Coeur de réseau MPLS,24.0,1.0,24.0,,2021-10-07 16:19:50,2024-07-09 10:15:43,902152,
1 - Licenses and options,Maintenance mensuelle Point accès wifi,3.5,5.0,17.5,,2021-10-14 16:51:34,2024-07-09 10:15:43,902152,
1 - Licenses and options,Maintenance mensuelle réseau switch,15.0,4.0,60.0,,2021-10-14 16:51:34,2024-07-09 10:15:43,902152,
1 - Licenses and options,Licence SUNBREN,15.0,10.0,150.0,,2021-10-15 09:19:36,2025-02-03 09:46:32,902152,
3 - Access links,Accès Internet - Fibre Dédiée FTTO - 100 Mbps - Symétrique et garanti,350.0,1.0,350.0,,2022-09-13 14:56:49,2024-07-09 10:17:27,902152,
3 - Access links,Accès Internet - Fibre Mutualisée FTTH - 1 Gbps Max,54.0,1.0,54.0,,2021-12-01 17:07:44,2024-07-09 10:17:27,902152,
4 - Numbers and portabilities,Numéro direct - SDA supplémentaire,0.6,4.0,2.4,,2021-10-07 16:19:50,2024-07-09 10:15:43,902152,
6 - Hardware,Routeur Internet - Supervision - Compatible VRRP,5.0,2.0,10.0,,2021-12-01 17:07:44,2024-07-09 10:17:27,902152,
7 - Mobile,Business Smartphone 1 Go,11.0,1.0,11.0,,2024-07-01 10:31:18,2024-07-09 10:17:27,902152,
7 - Mobile,Business Smartphone 20 Go,21.0,2.0,42.0,,2022-09-22 14:35:39,2024-07-09 10:17:27,902152,
1 - Licenses and options,Licence utilisateur - Illimité F/M France et 70 destinations,15.0,1.0,15.0,,2021-09-23 10:35:56,2024-03-26 11:04:17,902166,
